id,city,state,country,iso3,videos,start_time,end_time,vehicle_type,upload_date,time_of_day
2746,Busan,,South Korea,KOR,"[Y-IPzsU0qEw,nOsl10CyxgM,TZAtUG43yzI]","[[125, 3196], [62], [333]]","[[3105, 5118], [3641], [5090]]","[0,0,0]","[7072023,17022024,7022024]","[[0, 0], [0], [0]]"
2747,Hakone,Kanagawa,Japan,JPN,[pO_A8ljeObQ],"[[6400, 7455, 7869]]","[[6974, 7596, 7929]]",[0],[26082024],"[[0, 0, 0]]"
2748,Narita,Chiba,Japan,JPN,[mqVuC_szW24],[[1811]],[[2227]],[0],[22082024],[[0]]
2749,Fuji,Shizuoka,Japan,JPN,[wcBPl1BdiCw],"[[10280, 10754]]","[[10709, 11152]]",[0],[10112023],"[[0, 0]]"
2750,Antakya,,Türkiye,TUR,[we5qT9r4SIQ],"[[0, 364]]","[[357, 2775]]",[0],[26042023],"[[1, 0]]"
2751,Cordoba,,Spain,ESP,[7S_n7QG4Vic],[[43]],[[385]],[0],[26092022],[[0]]
2752,Granada,,Spain,ESP,[7S_n7QG4Vic],[[2620]],[[3896]],[0],[26092022],[[0]]
2753,Yasu,Shiga,Japan,JPN,[4jbhJRQHzlE],[[100]],[[1590]],[0],[14052023],[[0]]
2754,Varazze,,Italy,ITA,[-zfGtx5JOpM],[[80]],[[524]],[0],[20082025],[[0]]
2755,Canmore,AB,Canada,CAN,[1I2cTH_-Bgk],[[3200]],[[3290]],[0],[07082025],[[0]]
2756,Carmel-by-the-Sea,CA,United States,USA,"[MWpM1FGlUnk,Oefu1lPcEBE]","[[4428], [15]]","[[4706], [607]]","[0,0]","[16062025,9062025]","[[0], [0]]"
